"MES","SIRB01","SIRB02","SIRB03","SIRB04","SIRB05","SIRB06","SIRB07","SIRB08","SIRB09","SIRB10","SIRB11","SIRB12","SIRB13","SIRB14","SIRB15","SIRB16","SIRB17","SIRB18","SIRB19","SIRB20","SIRB21"
2011-08-01,"11632.064383749999","11635.34736858","3.2829848300000002","1328.2424156712759","1347.5861779147162","19.343762243440324","277.50258874000002","277.50258874000002",,,,,,,,,,,"13237.809388161275","13260.436135234717","22.626747073440324"
2011-09-01,"11408.14459765","11407.93050971","-0.21408794","1353.2049894542054","1367.620467754497","14.415478300291625","277.58578313999999","277.58578313999999",,,,,,,,,,,"13038.935370244206","13053.136760604497","14.201390360291624"
2011-10-01,"11902.656831820001","11902.830347700001","0.17351588000000001","1320.7753149768657","1342.8689461882359","22.093631211370166","292.46303362999998","292.46303362999998",,,,,,,,,,,"13515.895180426865","13538.162327518237","22.267147091370166"
2011-11-01,"12114.738891750001","12114.557580590001","-0.18131116","1259.1977500272224","1287.8207816452982","28.623031618075856","292.51394009999996","292.51394009999996",,,,,,,,,,,"13666.450581877223","13694.892302335298","28.441720458075856"
2011-12-01,"12018.54813094","12019.02021972","0.47208877999999999","1421.9962290775793","1437.1823856927397","15.186156615160371","292.76888372000002","292.76888372000002",,,,,,,,,,,"13733.313243737579","13748.971489132738","15.658245395160371"
2012-01-01,"12488.93755683","12489.130134360001","0.19257753","1132.2709742961715","1145.8145425206612","13.543568224489832","248.28437400000001","248.28437400000001",,,,,,,,,,,"13869.492905126172","13883.229050880662","13.736145754489831"
2012-02-01,"12739.11847721","12738.807432580001","-0.31104462999999999","1149.4797365604411","1165.7615057805576","16.28176922011653","248.46419739000001","248.46419739000001",,,,,,,,,,,"14137.062411160441","14153.033135750558","15.97072459011653"
2012-03-01,"12746.650737850001","12745.59046293","-1.0602749199999999","1112.06474509993","1123.8847673914752","11.820022291545229","248.65205136","248.65205136",,,,,,,,,,,"14107.367534309931","14118.127281681476","10.759747371545229"
2012-04-01,"12573.122362329999","12573.153383069999","3.1020740000000002E-2","1364.1836101023421","1374.9818109201262","10.798200817784164","262.57355331999997","262.57355331999997",,,,,,,,,,,"14199.879525752342","14210.708747310126","10.829221557784164"
2012-05-01,"12421.877112569999","12422.030162049999","0.15304947999999999","1308.1671004604389","1319.1602701499432","10.993169689504384","262.79229979999997","262.79229979999997",,,,,,,,,,,"13992.836512830438","14003.982731999942","11.146219169504384"
2012-06-01,"12439.75889637","12438.352775580001","-1.4061207899999999","1343.8133362192505","1355.0011119918452","11.187775772594705","262.90951601","262.90951601",,,,,,,,,,,"14046.48174859925","14056.263403581846","9.7816549825947057"
2012-07-01,"12747.98702941","12747.304303880001","-0.68272553000000002","1312.0946175305405","1325.9423671311235","13.847749600583029","277.37785972","277.37785972",,,,,,,,,,,"14337.45950666054","14350.624530731124","13.165024070583028"
2012-08-01,"13063.699514190001","13063.635038320001","-6.4475870000000005E-2","1328.2424156712759","1347.5861779147162","19.343762243440324","277.50258874000002","277.50258874000002",,,,,,,,,,,"14669.444518601276","14688.723804974717","19.279286373440325"
2012-09-01,"13419.256989970001","13419.067519140001","-0.18947083000000001","1353.2049894542054","1367.620467754497","14.415478300291625","277.58578313999999","277.58578313999999",,,,,,,,,,,"15050.047762564207","15064.273770034497","14.226007470291625"
