"MES","SEMV01","SEMV02","SEMV03","SEMV04","SEMV05","SEMV06","SEMV07","SEMV08","SEMV09","SEMV10","SEMV11","SEMV12","SEMV13"
2009-02-01,"1472.0440000000001","9344.009","10816.053","1174.5565200000001","880.61182999999994","9029.5383700000002","38879.565299999995","57.889000000000003","47564.174449999999","9553.1838000000007",,"380.27300000000002","118335.84527000001"
2009-03-01,"645.66362000000004","17826.30228","18471.965899999999","1248.0806100000002","735.7802099999999","7257.751150000001","37719.75172","73.663789999999992","42241.868340000001","10118.013559999999","51.252540000000003","1021.28702","118939.41484000001"
2009-04-01,"2582.04736","12336.914580000001","14918.961940000001","1842.5413999999998","686.93761000000006","9588.6737699999994","42521.563119999999","56.936450000000001","44124.382539999999","10275.285240000001",,"1714.2480800000001","125729.53014999999"
2009-05-01,"2413.7001","16426.167030000001","18839.867129999999","1366.49541","1090.43878","9462.2816600000006","52562.634539999999","198.27976000000001","42445.026610000001","8168.3323299999993",,"1169.8189200000002","135303.17514000001"
2009-06-01,"4553.2373299999999","15913.756230000001","20466.993560000003","410.61559000000005","1807.6023100000002","9745.8812300000009","48287.569280000003","278.72202000000004","54787.703570000005","9384.5411700000004","0.58430000000000015","1612.81546","146783.02849000003"
2009-07-01,"739.37904000000003","18208.616870000002","18947.995910000001","1573.9780500000002","1662.4046700000001","13622.54549","59001.140290000003","237.68946","52448.552469999995","8938.4110300000011",,"2008.6117300000003","158441.3291"
2009-08-01,"901.67419999999993","18392.179230000002","19293.853430000003","1427.20201","1366.51475","12118.03217","66634.704859999998","379.23167000000001","52426.357909999999","7794.5947400000005","1173.1236299999998","1561.2274100000002","164174.84257999997"
2009-09-01,"1171.2032400000001","19899.638649999997","21070.841889999996","1222.3223799999998","1515.2709100000002","15250.811230000001","72342.181400000001","329.67321999999996","61063.724670000003","10341.182589999999","294.47649999999999","1744.3446899999997","185174.82947999999"
2009-10-01,"3522.4028800000001","17643.382579999998","21165.785459999999","1759.1005700000001","2033.9596500000002","14136.714960000001","65636.462400000004","419.2303","66095.733049999995","9445.9466799999991","274.61806000000001","1693.7518100000004","182661.30293999997"
2009-11-01,"6100.7843600000006","21748.10684","27848.891200000002","1620.35968","1604.32618","16118.734570000001","84392.685590000008","745.26058","58706.740750000004","12744.56516","864.11451","1811.9434299999998","206457.62165000004"
2009-12-01,"4341.2313600000007","18149.159760000002","22490.391120000004","1565.4436599999999","2843.8052900000002","14157.452020000001","87113.65062","795.95063000000005","60569.028010000002","8018.2941100000007","273.00842999999998","1576.3504699999999","199403.37435999999"
2010-01-01,"4719.2930800000004","24300.157859999999","29019.450939999999","1054.58016","1565.1361499999998","13717.281450000002","83553.842120000001","608.08272999999997","53751.213049999991","8466.0738900000015","340.40692999999999","977.60490000000016","193053.67231999998"
2010-02-01,"3893.2829400000001","20219.986559999998","24113.269499999999","2334.2613900000001","1650.8464000000001","12309.02378","70617.23225000003","529.77641000000006","45309.791500000007","7025.4215999999997","124.29697","920.71785999999997","164934.63766000004"
2010-03-01,"1794.4488999999999","21816.168299999998","23610.617199999997","2391.8253599999998","4390.4586900000004","16564.055990000001","80565.646840000001","805.01587000000006","68489.886340000012","6744.1810700000005","76.768420000000006","1498.6231099999998","205137.07888999998"
2010-04-01,"3783.2428100000002","20710.205970000003","24493.448780000002","1534.73404","3941.4230500000008","8382.0288799999998","57474.848350000007","587.17158999999992","54473.835560000007","7954.5511400000005",,"1597.26152","160439.30291000003"
2010-05-01,"4687.5634800000007","22805.796979999999","27493.36046","1471.4756299999999","4472.218350000001","13332.758900000001","94534.492030000023","1017.40426","80044.978719999985","8220.86859","434.57484999999997","1763.5564599999998","232785.68825000001"
2010-06-01,"2419.1811299999999","20473.070070000002","22892.251200000002","1933.13831","5581.2850900000003","11689.239010000001","66209.525829999999","696.31524999999999","71202.367559999999","8635.7218000000012",,"1935.8150800000001","190775.65913000001"
2010-07-01,"9891.2155299999995","23358.19614","33249.411670000001","2233.75263","3084.1518099999998","9707.7477200000012","57145.592919999996","1101.0156499999998","63515.228080000008","9571.9920300000013","522.92998999999998","2109.3487300000002","182241.17123000001"
2010-08-01,"6972.2500899999995","24040.498300000003","31012.748390000001","1826.0572","3751.7533299999996","10893.5015","59200.92078","634.0769600000001","41622.952149999997","6340.8179400000008","504.18650000000002","1332.4547499999999","157119.46950000004"
2010-09-01,"4763.7232000000004","25814.237709999998","30577.960909999998","1569.7108500000002","2209.72471","13375.957159999998","82933.666289999994","762.33072000000004","70556.629920000007","7942.9547799999991","368.89626000000004","2153.38303","212451.21463"
2010-10-01,"5570.9571100000003","27577.931059999999","33148.888169999998","1398.0698399999999","3759.4768899999999","17018.83671","79488.729150000014","475.87958999999995","78995.105930000005","7599.5054500000006","419.42887999999999","2970.2889000000009","225274.20951000002"
2010-11-01,"7450.5383400000001","31892.728620000002","39343.266960000001","1808.2273200000002","4074.3232499999999","10281.34275","78672.06985","653.71524999999997","73890.037089999998","8471.8486199999988","138.01738","3472.0525700000003","220804.90104"
