"MES","AMFV01","AMFV02","AMFV03","AMFV04","AMFV05","AMFV06","AMFV07","AMFV08","AMFV09","AMFV10","AMFV11","AMFV12","AMFV13"
2005-11-01,"1126264.7286200039","-122436.3649303522","-131731.16836035065","9294.8034299984574","1003828.3636896517","4428.351023953408","153935.21539000049","386380.48877413012","-262579.34893843345","282164.70624965057","721663.65744000115","-234170.01706999913","955833.67451000027"
2005-12-01,"-13092.173324439675","566999.53147893213","470437.16919494979","96562.362283982337","553907.35815449245","133096.54894662462","24929.012720000464","258624.0008299984","251514.09480787022","668163.65730449371","-114256.29915000126","70361.916820004582","-184618.21597000584"
2006-01-01,"807688.82828998938","-2560956.3541777022","-2552140.2897076942","-8816.0644700080156","-1753267.5258877128","568551.54903499875","18152.269899999723","418985.08775999956","-1433343.2439427059","-427654.33724770788","-1325613.188640005","-800455.46502000466","-525157.7236200003"
2006-02-01,"652342.15790854767","-170474.7099669911","-86233.289275877178","-84241.420691113919","481867.44794155657","405463.12074137852","-16413.306562599726","-270390.40684069134","103534.04670176189","222193.45403984934","259673.99390170723","147441.69687170163","112232.2970300056"
2006-03-01,"1190182.1974745952","-130394.49131121486","-184182.95351562649","53788.462204411626","1059787.7061633803","774128.20303895883","-56708.781453600153","136510.40523681603","163330.63218780048","1017260.4590099752","42527.2471534051","321709.60200339928","-279182.35484999418"
2006-04-01,"1070179.8587282486","277921.46658614185","49188.070177352987","228733.39640878886","1348101.3253143905","911358.31748599932","77924.015027399641","486098.52093298174","-511990.1229836843","963390.7304626964","384710.59485169407","128653.57460169867","256057.0202499954"
2006-05-01,"824815.57479081675","371352.3601172762","78136.629259665497","293215.7308576107","1196167.934908093","816216.38288299367","-35774.304848399945","312661.73748880439","73338.150444692932","1166441.965968091","29725.968940001912","-46378.91085999459","76104.879799996503"
2006-06-01,"303326.09430120885","152510.1301420508","141548.40128164273","10961.728860408068","455836.22444325965","439229.06465362199","9155.3247867999598","-278382.32751600072","-227433.36913116369","-57431.307206742465","513267.53165000211","200707.83137999848","312559.70027000364"
2006-07-01,"1498952.9677003287","287451.75925351027","-64094.554333887063","351546.31358739734","1786404.726953839","912510.62974947691","-17010.882734399755","405703.69856119528","-90994.811012433376","1210208.6345638391","576196.09238999989","45031.250289998949","531164.84210000094"
2006-08-01,"1232415.9269363545","132502.50640330743","-6797.4411553898826","139299.94755869731","1364918.4333396619","543904.29652306251","-39401.986181200482","-6326.7199556864798","-25575.280468213372","472600.30991796218","892318.12342169974","614336.71478170156","277981.40863999818"
2006-09-01,"1153611.1985665001","187394.70214781631","-31124.311335115694","218519.013482932","1341005.9007143164","865972.52349706925","-18219.947641499806","29252.73902399838","-242010.19084524876","634995.12403431907","706010.77667999733","370305.22385000065","335705.55282999668"
